business_unit,trip_date,trip_id,delay_minutes
pinnacle-Slc,2026-05-04,1001,0
pinnacle-Slc,2026-05-07,1002,0
pinnacle-Slc,2026-05-10,1003,0
pinnacle-Slc,2026-05-13,1004,0
pinnacle-Slc,2026-05-16,1005,0
pinnacle-Slc,2026-05-19,1006,0
pinnacle-Slc,2026-05-22,1007,0
pinnacle-Slc,2026-05-25,1008,0
pinnacle-Slc,2026-05-28,1009,12
pinnacle-Slc,2026-05-31,1010,0
pinnacle-Slc,2026-06-01,2001,0
pinnacle-Slc,2026-06-01,2002,18
pinnacle-Slc,2026-06-02,2003,0
pinnacle-Slc,2026-06-03,2004,0
pinnacle-Slc,2026-06-04,2005,23
pinnacle-Slc,2026-06-05,2006,0
pinnacle-Slc,2026-06-06,2007,0
pinnacle-Slc,2026-06-06,2008,31
pinnacle-Slc,2026-06-07,2009,0
pinnacle-Slc,2026-06-07,2010,0
