business_unit,trip_id,stwid,event_id,event_type,start_time,acknowledge_time,state_text,severity,source
pinnacle-Slc,"3,000,001",0,2a4047fa-2363-7810-5830-cb0181ad56ea,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,002",0,6f90c044-3170-b20a-07a3-9440dbe89820,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,003",0,a10d7b4c-1d1e-6692-fcf2-90f7d7f25ddd,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,004",0,cee37ad5-fa3d-bd84-bccc-897463b8e30a,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,005",0,3318bc91-9e2e-7d22-9fe4-f8e0aec576a5,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,006",0,f290a5cd-9bb1-04dd-00f8-b97c28f89bb9,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,007",0,ba183243-7d2a-47d3-8b3a-32c15dc6321c,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,008",0,1d3e5505-b405-d77b-ad78-04e77e465d48,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,009",0,b015f6f0-f124-af46-d0e5-818d11853be5,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,010",0,d98b0a61-1c72-5759-6baf-b23b7a2a33fa,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,011",0,aa74fd4f-faa0-8970-953f-304241af55f1,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,012",0,8e5d343a-fa58-6ca1-4db9-a797c4179450,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,013",0,e1b31c19-c75e-c824-b484-907611d87616,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,014",0,bef5cabb-4ee0-f167-ea76-df4dc87e983d,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
pinnacle-Slc,"3,000,015",0,8f7266bd-9691-e6ef-35ef-ebe34a48e628,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 4, 2026, 9:05 AM",NA,CLOSED,NA,NA
